Player,Comp,Nation,Age,Pos,Squad,Gls_90,Ast_90,xG_90,xAG_90
Sékou Doucoure,fr Ligue 1,fr FRA,19.0,DF,Nantes,0.0,0.0,0.0,0.0
Désiré Doué,fr Ligue 1,fr FRA,19.0,"FW,MF",Paris S-G,0.31,0.31,0.27,0.41
Guela Doué,fr Ligue 1,ci CIV,21.0,DF,Strasbourg,0.03,0.07,0.03,0.02
Ismaël Doukouré,fr Ligue 1,fr FRA,21.0,"DF,MF",Strasbourg,0.03,0.03,0.02,0.04
Issa Doumbia,it Serie A,ci CIV,20.0,MF,Venezia,0.0,0.0,0.1,0.01
Kamory Doumbia,fr Ligue 1,ml MLI,21.0,"MF,FW",Brest,0.2,0.14,0.19,0.08
Amidou Doumbouya,fr Ligue 1,fr FRA,16.0,DF,Nice,0.0,0.0,0.0,0.0
Tim Drexler,de Bundesliga,de GER,19.0,DF,Hoffenheim,0.0,0.0,0.01,0.01
Jáder Durán,eng Premier League,co COL,20.0,FW,Aston Villa,0.99,0.0,0.69,0.03
Julien Duranville,de Bundesliga,be BEL,18.0,"FW,MF",Dortmund,0.0,0.0,0.08,0.1
Stefan Džodić,fr Ligue 1,rs SRB,19.0,"DF,MF",Montpellier,0.0,0.0,0.03,0.0
Claudio Echeverri,eng Premier League,ar ARG,18.0,FW,Manchester City,0.0,0.0,0.0,0.0
Noah Edjouma,fr Ligue 1,fr FRA,18.0,"MF,FW",Toulouse,1.05,0.0,0.67,0.03
Samuel Edozie,eng Premier League,eng ENG,21.0,"DF,FW",Southampton,0.0,0.0,0.0,0.14
Ronnie Edwards,eng Premier League,eng ENG,21.0,DF,Southampton,0.0,0.0,0.0,0.0
Jeff Ekhator,it Serie A,it ITA,17.0,"FW,MF",Genoa,0.12,0.12,0.16,0.12
Jacques Ekomie,fr Ligue 1,ga GAB,20.0,"DF,FW",Angers,0.0,0.0,0.0,0.0
Harvey Elliott,eng Premier League,eng ENG,21.0,MF,Liverpool,0.24,0.49,0.43,0.26
Emanuel Emegha,fr Ligue 1,nl NED,21.0,FW,Strasbourg,0.55,0.12,0.67,0.1
Yunus Emre Konak,eng Premier League,tr TUR,18.0,"FW,MF",Brentford,0.0,0.0,0.33,0.0
Julio Enciso,eng Premier League,py PAR,20.0,"MF,FW",Ipswich Town,0.21,0.31,0.18,0.14
Julio Enciso,eng Premier League,py PAR,20.0,"MF,FW",Brighton,0.0,0.0,0.31,0.07
Endrick,es La Liga,br BRA,18.0,FW,Real Madrid,0.25,0.0,0.61,0.12
Arne Engels,de Bundesliga,be BEL,20.0,"MF,FW",Augsburg,0.0,0.0,0.45,0.0
Romain Esse,eng Premier League,eng ENG,19.0,MF,Crystal Palace,0.65,0.65,0.21,0.27
Dario Essugo,es La Liga,pt POR,19.0,MF,Las Palmas,0.05,0.0,0.03,0.02
Estanis,it Serie A,es ESP,20.0,FW,Bologna,0.0,0.0,0.71,1.65
Etienne Eto'o,es La Liga,cm CMR,21.0,FW,Rayo Vallecano,0.0,0.0,0.0,0.0
Karl Etta,es La Liga,cm CMR,20.0,"MF,FW",Villarreal,2.43,0.0,0.88,0.0
Giovanni Fabbian,it Serie A,it ITA,21.0,MF,Bologna,0.26,0.09,0.21,0.12
Abdul Fatawu Issahaku,eng Premier League,gh GHA,20.0,FW,Leicester City,0.0,0.31,0.06,0.24
Ansu Fati,es La Liga,es ESP,21.0,FW,Barcelona,0.0,0.0,0.38,0.06
Khalil Fayad,fr Ligue 1,fr FRA,20.0,"MF,FW",Montpellier,0.0,0.0,0.11,0.02
Jacopo Fazzini,it Serie A,it ITA,21.0,MF,Empoli,0.26,0.07,0.2,0.03
Frank Feller,de Bundesliga,de GER,20.0,GK,Heidenheim,0.0,0.0,0.0,0.0
Evan Ferguson,eng Premier League,ie IRL,19.0,FW,West Ham,0.0,0.0,0.32,0.17
Evan Ferguson,eng Premier League,ie IRL,19.0,FW,Brighton,0.37,0.0,0.2,0.15
Mateus Fernandes,eng Premier League,pt POR,20.0,MF,Southampton,0.06,0.12,0.12,0.09
Pelayo Fernandez,es La Liga,es ESP,21.0,DF,Rayo Vallecano,0.0,0.0,0.0,0.0
Matias Fernandez-Pardo,fr Ligue 1,be BEL,19.0,"FW,MF",Lille,0.34,0.17,0.24,0.24
Daniel Fila,it Serie A,cz CZE,21.0,FW,Venezia,0.37,0.0,0.26,0.06
Mateo Flores,es La Liga,es ESP,20.0,MF,Betis,0.0,0.0,0.0,0.0
Malick Fofana,fr Ligue 1,be BEL,19.0,FW,Lyon,0.28,0.23,0.22,0.21
Rayan Fofana,fr Ligue 1,fr FRA,18.0,"FW,MF",Lens,0.0,0.0,0.0,0.0
Carlos Forbs,eng Premier League,pt POR,20.0,"MF,FW",Wolves,0.0,0.0,0.05,0.01
Omari Forson,it Serie A,eng ENG,20.0,"MF,FW",Monza,0.0,0.0,0.09,0.21
Héctor Fort,es La Liga,es ESP,17.0,DF,Barcelona,0.0,0.0,0.04,0.13
Fran,es La Liga,es ESP,19.0,GK,Real Madrid,0.0,0.0,0.0,0.0
Matheus França,eng Premier League,br BRA,20.0,"MF,FW",Crystal Palace,1.64,0.0,0.42,0.0
Alejandro Francés,es La Liga,es ESP,21.0,DF,Girona,0.0,0.0,0.02,0.03
Tyler Fredricson,eng Premier League,eng ENG,19.0,DF,Manchester Utd,0.0,0.0,0.0,0.0
Darío Fuentes,es La Liga,es ESP,21.0,DF,Sevilla,0.0,0.0,0.0,0.0
Shiō Fukuda,de Bundesliga,jp JPN,20.0,FW,Gladbach,1.5,0.0,0.65,0.0
Tommaso Gabellini,it Serie A,it ITA,17.0,FW,Torino,0.0,0.0,0.45,0.0
Tiago Gabriel,it Serie A,pt POR,19.0,DF,Lecce,0.0,0.0,0.0,0.0
Andrés García,eng Premier League,es ESP,21.0,"DF,MF",Aston Villa,0.0,0.0,0.01,0.05
Gonzalo García,es La Liga,es ESP,20.0,"FW,DF",Real Madrid,0.0,1.61,0.79,1.56
Pablo Garcia,es La Liga,es ESP,17.0,FW,Betis,0.0,0.0,0.0,0.0
Alejandro Garnacho,eng Premier League,ar ARG,20.0,"MF,FW",Manchester Utd,0.25,0.08,0.3,0.19
